filename,size,num_lines
20260901_040000.csv,5,4468
20260901_050000.csv,4,3772
20260901_060000.csv,4,3986
20260901_070000.csv,3,3187
20260901_080000.csv,4,3520
20260901_090000.csv,3,3323
20260901_100000.csv,4,3661
20260901_110000.csv,4,4057
20260901_120000.csv,5,4609
20260901_130000.csv,7,6201
20260901_140000.csv,6,6029
20260901_150000.csv,6,5468
20260901_160000.csv,6,5853
20260901_170000.csv,6,5729
20260901_180000.csv,6,5891
20260901_190000.csv,6,5558
20260901_200000.csv,7,6843
20260901_210000.csv,7,6909
20260901_220000.csv,6,5782
20260901_230000.csv,5,4970
20260902_000000.csv,5,4628
20260902_010000.csv,6,5276
20260902_020000.csv,7,6175
20260902_030000.csv,5,3914
